District,Taluk,Area,DemandProducts,Cost_of_Living,Population,Avg_Income,Competition_Index,Footfall_Potential,AvgRent2BHK,MetroAccess,CrimeReportedCitywide,CrimeDetectedCitywide,AgeGroup
Bangalore Urban,Bangalore North,Yelahanka,"Cafe, Education, Real Estate, Electronics",35795,409088,46367,6,6139,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Hebbal,"Cafe, Supermarket, Healthcare, Electronics",20860,233046,69624,4,750,22000,Yes,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,RT Nagar,"Grocery, Kitchenware, Pharmacy, Clothing Store",96820,125947,25106,9,5841,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Malleshwaram,"Cafe, Clothing Store, Books, Jewellery",74886,308543,52957,3,6938,28000,Yes,12627,3603 (28.5%),35-54
Bangalore Urban,Bangalore North,Rajajinagar,"Supermarket, Electronics, Pharmacy, Furniture",26265,148177,17472,4,2687,,No,12627,3603 (28.5%),35-54
Bangalore Urban,Bangalore North,Sadashivanagar,"Boutique, High-end Furniture, Cafe",102386,236454,75390,7,7976,,No,12627,3603 (28.5%),35-54
Bangalore Urban,Bangalore North,Mathikere,"Cafe, Bookstore, Fitness Center",57194,494460,64859,7,3362,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Vidyaranyapura,"Grocery, Pharmacy, Cafe",107498,129575,65956,4,1438,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Jakkur,"Education, Fitness Center, Cafe",64131,393048,21704,6,5096,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Nagavara,"IT Services, Cafe, Pharmacy",80263,227606,79315,3,5880,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Banaswadi,"Grocery, Pharmacy, Clothing Store",36023,468322,18713,6,2927,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Kalyan Nagar,"Cafe, Restaurant, Fitness",61090,312822,20051,2,5332,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Horamavu,"Grocery, Electronics, Furniture",87221,96218,25756,8,2317,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Hennur,"Real Estate, Cafe, Gym",84820,83230,17475,2,3639,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Kothanur,"Supermarket, Restaurant, Cafe",20769,265756,51378,7,7945,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Byatarayanapura,"Clothing Store, Pharmacy, Education",79735,356199,19255,9,9329,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Hegde Nagar,"Grocery, Pharmacy, Cafe",82955,469589,29484,1,4483,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Thanisandra,"Real Estate, Supermarket, Electronics",84925,182552,75167,8,3061,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Sanjay Nagar,"Cafe, Bakery, Pharmacy",87969,498446,71549,7,3326,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Frazer Town,"Cafe, Bakery, Clothing Store",25311,482052,49503,6,6937,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Yelahanka Extension 1,"Cafe, Education, Real Estate, Electronics",103104,354402,73929,6,7131,,No,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,Hebbal Stage 1,"Cafe, Supermarket, Healthcare, Electronics",73707,59986,23258,6,9390,22000,Yes,12627,3603 (28.5%),25-44
Bangalore Urban,Bangalore North,RT Nagar Phase 1,"Grocery, Kitchenware, Pharmacy, Clothing Store",105305,175232,75405,9,9231,,No,12627,3603 (28.5%),25-44
