District,Taluk,Area,DemandProducts,Cost_of_Living,Population,Avg_Income,Competition_Index,Footfall_Potential,AvgRent2BHK,MetroAccess,CrimeReportedCitywide,CrimeDetectedCitywide,AgeGroup,metro_binary,demand_token_count,success_score
Bangalore Urban,Bangalore North,Yelahanka,"Cafe, Education, Real Estate, Electronics",35795,409088,46367,6,6139,,No,12627.0,3603 (28.5%),25-44,0,4,0.5895563906574625
Bangalore Urban,Bangalore North,Hebbal,"Cafe, Supermarket, Healthcare, Electronics",20860,233046,69624,4,750,22000.0,Yes,12627.0,3603 (28.5%),25-44,1,4,0.5660343596891078
Bangalore Urban,Bangalore North,RT Nagar,"Grocery, Kitchenware, Pharmacy, Clothing Store",96820,125947,25106,9,5841,,No,12627.0,3603 (28.5%),25-44,0,4,0.40328861001963223
Bangalore Urban,Bangalore North,Malleshwaram,"Cafe, Clothing Store, Books, Jewellery",74886,308543,52957,3,6938,28000.0,Yes,12627.0,3603 (28.5%),35-54,1,4,0.8035768574982511
Bangalore Urban,Bangalore North,Rajajinagar,"Supermarket, Electronics, Pharmacy, Furniture",26265,148177,17472,4,2687,,No,12627.0,3603 (28.5%),35-54,0,4,0.39073333686816747
Bangalore Urban,Bangalore North,Sadashivanagar,"Boutique, High-end Furniture, Cafe",102386,236454,75390,7,7976,,No,12627.0,3603 (28.5%),35-54,0,3,0.625919382520627
Bangalore Urban,Bangalore North,Mathikere,"Cafe, Bookstore, Fitness Center",57194,494460,64859,7,3362,,No,12627.0,3603 (28.5%),25-44,0,3,0.3845303896917476
Bangalore Urban,Bangalore North,Vidyaranyapura,"Grocery, Pharmacy, Cafe",107498,129575,65956,4,1438,,No,12627.0,3603 (28.5%),25-44,0,3,0.3971941036836887
Bangalore Urban,Bangalore North,Jakkur,"Education, Fitness Center, Cafe",64131,393048,21704,6,5096,,No,12627.0,3603 (28.5%),25-44,0,3,0.3270248834254118
Bangalore Urban,Bangalore North,Nagavara,"IT Services, Cafe, Pharmacy",80263,227606,79315,3,5880,,No,12627.0,3603 (28.5%),25-44,0,3,0.6726450170715738
Bangalore Urban,Bangalore North,Banaswadi,"Grocery, Pharmacy, Clothing Store",36023,468322,18713,6,2927,,No,12627.0,3603 (28.5%),25-44,0,3,0.2209969377019322
Bangalore Urban,Bangalore North,Kalyan Nagar,"Cafe, Restaurant, Fitness",61090,312822,20051,2,5332,,No,12627.0,3603 (28.5%),25-44,0,3,0.45432721328593983
Bangalore Urban,Bangalore North,Horamavu,"Grocery, Electronics, Furniture",87221,96218,25756,8,2317,,No,12627.0,3603 (28.5%),25-44,0,3,0.15949827837738376
Bangalore Urban,Bangalore North,Hennur,"Real Estate, Cafe, Gym",84820,83230,17475,2,3639,,No,12627.0,3603 (28.5%),25-44,0,3,0.37065036114150396
Bangalore Urban,Bangalore North,Kothanur,"Supermarket, Restaurant, Cafe",20769,265756,51378,7,7945,,No,12627.0,3603 (28.5%),25-44,0,3,0.5333129506932015
Bangalore Urban,Bangalore North,Byatarayanapura,"Clothing Store, Pharmacy, Education",79735,356199,19255,9,9329,,No,12627.0,3603 (28.5%),25-44,0,3,0.4099942725392325
Bangalore Urban,Bangalore North,Hegde Nagar,"Grocery, Pharmacy, Cafe",82955,469589,29484,1,4483,,No,12627.0,3603 (28.5%),25-44,0,3,0.483944155530753
Bangalore Urban,Bangalore North,Thanisandra,"Real Estate, Supermarket, Electronics",84925,182552,75167,8,3061,,No,12627.0,3603 (28.5%),25-44,0,3,0.3797465655822354
Bangalore Urban,Bangalore North,Sanjay Nagar,"Cafe, Bakery, Pharmacy",87969,498446,71549,7,3326,,No,12627.0,3603 (28.5%),25-44,0,3,0.40838345280435207
Bangalore Urban,Bangalore North,Frazer Town,"Cafe, Bakery, Clothing Store",25311,482052,49503,6,6937,,No,12627.0,3603 (28.5%),25-44,0,3,0.513016569825788
Bangalore Urban,Bangalore North,Yelahanka Extension 1,"Cafe, Education, Real Estate, Electronics",103104,354402,73929,6,7131,,No,12627.0,3603 (28.5%),25-44,0,4,0.7375946901154672
Bangalore Urban,Bangalore North,Hebbal Stage 1,"Cafe, Supermarket, Healthcare, Electronics",73707,59986,23258,6,9390,22000.0,Yes,12627.0,3603 (28.5%),25-44,1,4,0.7052595069730865
Bangalore Urban,Bangalore North,RT Nagar Phase 1,"Grocery, Kitchenware, Pharmacy, Clothing Store",105305,175232,75405,9,9231,,No,12627.0,3603 (28.5%),25-44,0,4,0.7423903502307094
Bangalore Urban,Bangalore North,Malleshwaram Block 1,"Cafe, Clothing Store, Books, Jewellery",48693,367739,55747,2,3816,28000.0,Yes,12627.0,3603 (28.5%),25-44,1,4,0.7087482038475007
Bangalore Urban,Bangalore North,Rajajinagar Cross 1,"Supermarket, Electronics, Pharmacy, Furniture",91932,121358,50196,1,3514,,No,12627.0,3603 (28.5%),25-44,0,4,0.6436513153232877
Bangalore Urban,Bangalore North,Sadashivanagar Market 1,"Boutique, High-end Furniture, Cafe",113016,492327,60113,6,1548,,No,12627.0,3603 (28.5%),25-44,0,3,0.31814719359258326
Bangalore Urban,Bangalore North,Mathikere Industrial Area 1,"Cafe, Bookstore, Fitness Center",45658,347073,55194,8,670,,No,12627.0,3603 (28.5%),25-44,0,3,0.19949273425550015
Bangalore Urban,Bangalore North,Vidyaranyapura Layout 1,"Grocery, Pharmacy, Cafe",104478,93506,23533,3,3004,,No,12627.0,3603 (28.5%),25-44,0,3,0.3351384536298999
Bangalore Urban,Bangalore North,Jakkur Main Road 1,"Education, Fitness Center, Cafe",38431,54911,47581,1,2605,,No,12627.0,3603 (28.5%),25-44,0,3,0.4707575982304757
Bangalore Urban,Bangalore North,Nagavara Extension 2,"IT Services, Cafe, Pharmacy",22747,369271,20249,9,1017,,No,12627.0,3603 (28.5%),25-44,0,3,0.05101312319640977
Bangalore Urban,Bangalore North,Banaswadi Stage 2,"Grocery, Pharmacy, Clothing Store",79150,445037,75118,1,7082,,No,12627.0,3603 (28.5%),25-44,0,3,0.7707959313275634
Bangalore Urban,Bangalore North,Kalyan Nagar Phase 2,"Cafe, Restaurant, Fitness",85725,226111,69443,3,7527,,No,12627.0,3603 (28.5%),25-44,0,3,0.7070078033881244
Bangalore Urban,Bangalore North,Horamavu Block 2,"Grocery, Electronics, Furniture",104654,473751,34201,8,6436,,No,12627.0,3603 (28.5%),25-44,0,3,0.37135661487598537
